Date,Exercise,Weight (kg),Reps,Sets
2023-12-21,At Jd,40,8.0,1.0
2023-12-21,At Jd,40,8.0,1.0
2023-12-21,Romanian Deadlifts,40,8.0,1.0
2023-12-21,Romanian Deadlifts,45,8.0,1.0
2023-12-21,Romanian Deadlifts,50,8.0,1.0
2023-12-21,Leg Extensions,23,8.0,1.0
2023-12-21,Leg Extensions,30,8.0,1.0
2023-12-21,Leg Extensions,36,8.0,1.0
2023-12-21,Calf Raises,10,10.0,1.0
2023-12-21,Calf Raises,10,10.0,1.0
2023-12-21,Calf Raises,15,10.0,1.0
2023-12-24,Bench Press,40,8.0,1.0
2023-12-24,Bench Press,50,8.0,1.0
2023-12-24,Bench Press,50,8.0,1.0
2023-12-24,Dumbbell Incline Press,10,8.0,1.0
2023-12-24,Dumbbell Incline Press,14,8.0,1.0
2023-12-24,Dumbbell Incline Press,18,8.0,1.0
2023-12-24,Seated Shoulder Press (Dumbbells),12,8.0,1.0
2023-12-24,Seated Shoulder Press (Dumbbells),12,10.0,1.0
2023-12-24,Seated Shoulder Press (Dumbbells),12,10.0,1.0
2023-12-24,Lateral Raises,5,12.0,1.0
2023-12-24,Lateral Raises,5,12.0,1.0
2023-12-24,Lateral Raises,5,12.0,1.0
2023-12-24,Lateral Raises,5,12.0,1.0
2023-12-24,Tricep Pull Downs,20,8.0,1.0
2023-12-24,Tricep Pull Downs,20,8.0,1.0
2023-12-27,Bicep Curls,8,8.0,1.0
2023-12-27,Bicep Curls,8,8.0,1.0
2023-12-27,Deadlifts,70,8.0,1.0
2023-12-27,Deadlifts,80,8.0,1.0
2023-12-27,Deadlifts,90,8.0,1.0
2023-12-27,Deadlifts,80,8.0,1.0
2023-12-27,Seated Row,32,8.0,1.0
2023-12-27,Seated Row,34,8.0,1.0
2023-12-27,Seated Row,41,8.0,1.0
2023-12-28,Squats,40,8.0,1.0
2023-12-28,Squats,50,8.0,1.0
2023-12-28,Squats,55,8.0,1.0
2023-12-28,At Jd,25,8.0,1.0
2023-12-28,At Jd,40,8.0,1.0
2023-12-28,At Jd,40,8.0,1.0
2023-12-28,At Jd,45,4.0,1.0
2023-12-28,Leg Extensions,30,8.0,1.0
2023-12-28,Leg Extensions,36,8.0,1.0
2023-12-28,Leg Extensions,36,8.0,1.0
2023-12-28,Calf Raises,25,,
2023-12-30,Bench Press,40,10.0,1.0
2023-12-30,Bench Press,50,7.0,1.0
2023-12-30,Bench Press,50,4.0,1.0
2023-12-30,Dumbbell Incline Press,14,8.0,1.0
2023-12-30,Dumbbell Incline Press,18,3.0,1.0
2023-12-30,Dumbbell Incline Press,14,10.0,1.0
2023-12-30,Seated Shoulder Press (Dumbbells),12,10.0,1.0
2023-12-30,Seated Shoulder Press (Dumbbells),12,10.0,1.0
2023-12-30,Seated Shoulder Press (Dumbbells),12,10.0,1.0
2024-01-08,Dumbbell Bench Press,10,8.0,1.0
2024-01-08,Dumbbell Bench Press,15,8.0,1.0
2024-01-08,Dumbbell Bench Press,18,8.0,1.0
2024-01-08,Dumbbell Bench Press,20,8.0,1.0
2024-01-08,Dumbbell Incline Press,15,8.0,1.0
2024-01-08,Dumbbell Incline Press,15,8.0,1.0
2024-01-08,Dumbbell Incline Press,15,8.0,1.0
2024-01-08,Seated Shoulder Press,10,10.0,1.0
2024-01-08,Seated Shoulder Press,10,10.0,1.0
2024-01-08,Seated Shoulder Press,10,10.0,1.0
2024-01-09,Deadlifts,70,8.0,1.0
2024-01-09,Deadlifts,80,8.0,1.0
2024-01-09,Deadlifts,80,8.0,1.0
2024-01-09,Bicep Curls,8,4.0,1.0
2024-01-09,Seated Cable Rows,25,8.0,1.0
2024-01-09,Seated Cable Rows,25,8.0,1.0
2024-01-09,Seated Cable Rows,25,8.0,1.0
2024-01-10,Squats,40,10.0,1.0
2024-01-10,Squats,50,8.0,1.0
2024-01-10,Squats,55,8.0,1.0
2024-01-10,Leg Curls,5,10.0,1.0
2024-01-10,Leg Curls,5,10.0,1.0
2024-01-10,Leg Curls,5,10.0,1.0
2024-01-10,Romanian Deadlifts,40,8.0,1.0
2024-01-10,Romanian Deadlifts,40,8.0,1.0
2024-01-10,Romanian Deadlifts,40,8.0,1.0
2024-01-10,Leg Press (50Kg Already Loaded),50,8.0,1.0
2024-01-10,Leg Press (50Kg Already Loaded),50,8.0,1.0
2024-01-10,Leg Press (50Kg Already Loaded),50,8.0,1.0
2024-01-10,Romanian Deadlifts,40,8.0,1.0
2024-01-10,Romanian Deadlifts,40,8.0,1.0
2024-01-10,Romanian Deadlifts,40,8.0,1.0
2024-01-10,Calf Raises,10,10.0,1.0
2024-01-10,Calf Raises,10,10.0,1.0
2024-01-10,Calf Raises,10,10.0,1.0
2024-01-13,Bench Press,40,10.0,1.0
2024-01-13,Bench Press,50,8.0,1.0
2024-01-13,Bench Press,40,10.0,1.0
2024-01-13,Bench Press,40,10.0,1.0
2024-01-13,Seated Shoulder Press (Dumbbells),10,8.0,1.0
2024-01-13,Seated Shoulder Press (Dumbbells),5,8.0,1.0
2024-01-13,Seated Shoulder Press (Dumbbells),5,10.0,1.0
2024-01-13,Lateral Raises,5,12.0,1.0
2024-01-13,Lateral Raises,5,12.0,1.0
2024-01-13,Lateral Raises,5,12.0,1.0
2024-01-13,Lateral Raises,5,12.0,1.0
2024-01-13,Tricep Pull Downs,25,8.0,1.0
2024-01-13,Tricep Pull Downs,25,8.0,1.0
2024-01-13,Tricep Pull Downs,25,8.0,1.0
2024-01-13,Lateral Raises,5,10.0,1.0
2024-01-13,Lateral Raises,5,10.0,1.0
2024-01-13,Lateral Raises,5,10.0,1.0
2024-01-14,Deadlifts,70,8.0,1.0
2024-01-14,Deadlifts,80,8.0,1.0
2024-01-14,Deadlifts,80,8.0,1.0
2024-01-14,Bicep Curls,8,10.0,1.0
2024-01-14,Bicep Curls,8,10.0,1.0
2024-01-14,Bicep Curls,10,8.0,1.0
2024-01-14,Bicep Curls,8,10.0,1.0
2024-01-14,Seated Cable Rows,25,8.0,1.0
2024-01-14,Seated Cable Rows,25,8.0,1.0
2024-01-14,Seated Cable Rows,25,8.0,1.0
2024-01-15,Squats,40,10.0,1.0
2024-01-15,Squats,50,8.0,1.0
2024-01-15,Squats,55,8.0,1.0
2024-01-15,Squats,55,8.0,1.0
2024-01-15,Leg Extensions,5,8.0,1.0
2024-01-15,Leg Extensions,35,10.0,1.0
2024-01-15,Leg Extensions,35,10.0,1.0
2024-01-15,Leg Extensions,35,10.0,1.0
2024-01-15,Leg Press,50,8.0,1.0
2024-01-15,Leg Press,50,8.0,1.0
2024-01-15,Leg Press,70,8.0,1.0
2024-01-15,Romanian Deadlifts,40,8.0,1.0
2024-01-15,Romanian Deadlifts,40,8.0,1.0
2024-01-15,Romanian Deadlifts,50,8.0,1.0
2024-01-18,Bench Press,40,10.0,1.0
2024-01-18,Bench Press,50,7.0,1.0
2024-01-18,Shoulder Press,12,8.0,1.0
2024-01-18,Shoulder Press,12,10.0,1.0
2024-01-18,Shoulder Press,12,10.0,1.0
2024-01-18,Pectoral Fly,35,8.0,1.0
2024-01-18,Lateral Raises,5,10.0,1.0
2024-01-18,Lateral Raises,5,10.0,1.0
2024-01-18,Lateral Raises,5,10.0,1.0
2024-01-19,Deadlifts,70,8.0,1.0
2024-01-19,Deadlifts,80,8.0,1.0
2024-01-19,Deadlifts,80,8.0,1.0
2024-01-19,Shrugs,14,8.0,1.0
2024-01-19,Shrugs,18,10.0,1.0
2024-01-19,Shrugs,18,10.0,1.0
2024-01-20,Squats,40,10.0,1.0
2024-01-20,Squats,50,8.0,1.0
2024-01-20,Squats,60,8.0,1.0
2024-01-20,Squats,60,8.0,1.0
2024-01-20,Leg Curls,5,10.0,1.0
2024-01-20,Leg Curls,30,10.0,1.0
2024-01-20,Leg Curls,5,10.0,1.0
2024-01-20,Leg Press (50Kg Already Loaded),50,8.0,1.0
2024-01-20,Leg Press (50Kg Already Loaded),70,8.0,1.0
2024-01-20,Leg Press (50Kg Already Loaded),70,8.0,1.0
2024-01-20,Romanian Deadlifts,40,8.0,1.0
2024-01-20,Romanian Deadlifts,50,8.0,1.0
2024-01-20,Romanian Deadlifts,50,8.0,1.0
2024-01-23,Bench Press,40,10.0,1.0
2024-01-23,Bench Press,50,5.0,1.0
2024-01-23,Bench Press,50,5.0,1.0
2024-01-23,Shoulder Press,12,8.0,1.0
2024-01-23,Shoulder Press,12,8.0,1.0
2024-01-23,Shoulder Press,14,8.0,1.0
2024-01-23,Shoulder Press,14,8.0,1.0
2024-01-23,Lateral Raises,5,10.0,1.0
2024-01-23,Lateral Raises,5,10.0,1.0
2024-01-23,Lateral Raises,5,10.0,1.0
2024-01-23,Pectoral Fly,35,8.0,1.0
2024-01-23,Pectoral Fly,35,8.0,1.0
2024-01-23,Pectoral Fly,35,8.0,1.0
2024-01-23,Lateral Raises,5,10.0,1.0
2024-01-23,Lateral Raises,5,12.0,1.0
2024-01-23,Lateral Raises,5,12.0,1.0
2024-01-23,Tricep Pull Downs,5,8.0,1.0
2024-01-23,Tricep Pull Downs,15,6.0,1.0
2024-01-23,Tricep Pull Downs,5,6.0,1.0
2024-01-24,Deadlifts,70,8.0,1.0
2024-01-24,Deadlifts,80,8.0,1.0
2024-01-24,Deadlifts,80,8.0,1.0
2024-01-24,Deadlifts,90,4.0,1.0
2024-01-24,Seated Cable Rows,25,8.0,1.0
2024-01-24,Seated Cable Rows,25,8.0,1.0
2024-01-24,Seated Cable Rows,25,8.0,1.0
2024-01-25,Squats,40,10.0,1.0
2024-01-25,Squats,50,8.0,1.0
2024-01-25,Squats,50,8.0,1.0
2024-01-25,Seated Leg Curl,5,10.0,1.0
2024-01-25,Seated Leg Curl,35,10.0,1.0
2024-01-25,Seated Leg Curl,5,10.0,1.0
2024-01-25,Leg Extensions,5,10.0,1.0
2024-01-25,Leg Extensions,35,10.0,1.0
2024-01-25,Leg Extensions,35,10.0,1.0
2024-01-25,Leg Press,50,8.0,1.0
2024-01-25,Leg Press,70,8.0,1.0
2024-01-25,Leg Press,70,8.0,1.0
2024-01-25,Seated Calf Raises,10,10.0,1.0
2024-01-25,Seated Calf Raises,10,10.0,1.0
2024-01-25,Seated Calf Raises,10,10.0,1.0
2024-01-28,Incline Bench Press,14,8.0,1.0
2024-01-28,Incline Bench Press,18,6.0,1.0
2024-01-28,Incline Bench Press,14,12.0,1.0
2024-01-28,Incline Bench Press,18,4.0,1.0
2024-01-28,Shoulder Press,12,8.0,1.0
2024-01-28,Shoulder Press,14,8.0,1.0
2024-01-28,Shoulder Press,14,8.0,1.0
2024-01-28,Pectoral Fly,35,8.0,1.0
2024-01-28,Pectoral Fly,35,8.0,1.0
2024-01-28,Pectoral Fly,35,8.0,1.0
2024-01-28,Tricep Pull Downs,75,8.0,1.0
2024-01-28,Tricep Pull Downs,75,8.0,1.0
2024-01-28,Tricep Pull Downs,75,8.0,1.0
2024-01-28,Lateral Raises,6,8.0,1.0
2024-01-28,Lateral Raises,6,8.0,1.0
2024-01-28,Lateral Raises,6,8.0,1.0
2024-01-29,Lat Pulldown,15,8.0,1.0
2024-01-29,Lat Pulldown,5,8.0,1.0
2024-01-29,Lat Pulldown,25,8.0,1.0
2024-01-29,Lat Pulldown,25,8.0,1.0
2024-01-29,Bicep Curls,8,8.0,1.0
2024-01-29,Bicep Curls,10,5.0,1.0
2024-01-29,Bicep Curls,8,8.0,1.0
2024-01-29,Bicep Curls,8,8.0,1.0
2024-01-29,Seated Cable Rows,25,8.0,1.0
2024-01-29,Seated Cable Rows,25,8.0,1.0
2024-01-29,Seated Cable Rows,25,8.0,1.0
2024-01-29,Face Pulls,25,8.0,1.0
2024-01-29,Face Pulls,75,8.0,1.0
2024-01-29,Face Pulls,75,8.0,1.0
2024-01-30,Squats,40,10.0,1.0
2024-01-30,Squats,50,8.0,1.0
2024-01-30,Squats,50,10.0,1.0
2024-01-30,Squats,50,8.0,1.0
2024-01-30,Romanian Deadlifts,30,8.0,1.0
2024-01-30,Romanian Deadlifts,50,8.0,1.0
2024-01-30,Romanian Deadlifts,50,8.0,1.0
2024-01-30,Leg Extensions,5,10.0,1.0
2024-01-30,Leg Extensions,35,10.0,1.0
2024-01-30,Leg Extensions,35,10.0,1.0
2024-01-30,Leg Extensions,35,10.0,1.0
2024-01-30,Seated Calf Raises,10,10.0,1.0
2024-01-30,Seated Calf Raises,10,10.0,1.0
2024-01-30,Seated Calf Raises,5,10.0,1.0
2024-02-01,Bench Press,40,10.0,1.0
2024-02-01,Bench Press,50,5.0,1.0
2024-02-01,Bench Press,50,6.0,1.0
2024-02-01,Incline Bench Press,14,8.0,1.0
2024-02-01,Incline Bench Press,14,8.0,1.0
2024-02-01,Incline Bench Press,14,8.0,1.0
2024-02-01,Pectoral Fly'S,39,8.0,1.0
2024-02-01,Pectoral Fly'S,45,10.0,1.0
2024-02-01,Pectoral Fly'S,45,10.0,1.0
2024-02-01,Tricep Pull Downs,5,8.0,1.0
2024-02-01,Tricep Pull Downs,14,4.0,1.0
2024-02-01,Tricep Pull Downs,5,8.0,1.0
2024-02-02,Deadlifts,70,8.0,1.0
2024-02-02,Deadlifts,80,8.0,1.0
2024-02-02,Deadlifts,80,8.0,1.0
2024-02-02,Deadlifts,80,8.0,1.0
2024-02-02,Barbell Rows,30,8.0,1.0
2024-02-02,Barbell Rows,30,10.0,1.0
2024-02-02,Barbell Rows,30,10.0,1.0
2024-02-02,Lat Pulldowns,32,10.0,1.0
2024-02-02,Lat Pulldowns,32,10.0,1.0
2024-02-02,Lat Pulldowns,32,10.0,1.0
2024-02-02,Bicep Curls,8,10.0,1.0
2024-02-04,Shoulder Press,12,8.0,1.0
2024-02-04,Shoulder Press,12,8.0,1.0
2024-02-04,Shoulder Press,14,8.0,1.0
2024-02-04,Shoulder Press,14,8.0,1.0
2024-02-04,Lateral Raises,6,12.0,1.0
2024-02-04,Lateral Raises,6,12.0,1.0
2024-02-04,Lateral Raises,6,12.0,1.0
2024-02-04,Front Raises,4,10.0,1.0
2024-02-04,Front Raises,6,10.0,1.0
2024-02-04,Front Raises,5,10.0,1.0
2024-02-04,Shrugs,18,8.0,1.0
2024-02-04,Shrugs,18,10.0,1.0
2024-02-04,Shrugs,18,10.0,1.0
2024-02-05,Squats,40,10.0,1.0
2024-02-05,Squats,50,8.0,1.0
2024-02-05,Squats,50,10.0,1.0
2024-02-05,Squats,60,4.0,1.0
2024-02-05,Romanian Deadlifts,40,8.0,1.0
2024-02-05,Romanian Deadlifts,40,8.0,1.0
2024-02-05,Romanian Deadlifts,40,8.0,1.0
2024-02-05,Leg Extensions,25,8.0,1.0
2024-02-05,Leg Extensions,32,8.0,1.0
2024-02-05,Leg Extensions,32,8.0,1.0
2024-02-05,Leg Press,45,8.0,1.0
2024-02-05,Leg Press,52,8.0,1.0
2024-02-05,Leg Press,59,8.0,1.0
2024-02-05,Calf Raises,10,10.0,1.0
2024-02-05,Calf Raises,20,10.0,1.0
2024-02-05,Calf Raises,20,10.0,1.0
2024-02-05,Seated Calf Raises,10,10.0,1.0
2024-02-05,Seated Calf Raises,10,10.0,1.0
2024-02-05,Seated Calf Raises,5,10.0,1.0
2024-02-06,Cable Rows,39,6.0,1.0
2024-02-06,Cable Rows,32,8.0,1.0
2024-02-06,Cable Rows,32,8.0,1.0
2024-02-06,Face Pulls,7,12.0,1.0
2024-02-06,Face Pulls,7,12.0,1.0
2024-02-06,Face Pulls,7,12.0,1.0
2024-02-06,Hammer Curls,8,8.0,1.0
2024-02-06,Hammer Curls,8,8.0,1.0
2024-02-06,Hammer Curls,8,8.0,1.0
2024-02-08,Bench Press,40,10.0,1.0
2024-02-08,Bench Press,50,8.0,1.0
2024-02-08,Bench Press,50,8.0,1.0
2024-02-08,Bench Press,40,10.0,1.0
2024-02-08,Incline Bench Press,14,8.0,1.0
2024-02-08,Incline Bench Press,14,10.0,1.0
2024-02-08,Incline Bench Press,14,8.0,1.0
2024-02-08,Pectoral Fly'S,39,8.0,1.0
2024-02-08,Pectoral Fly'S,45,10.0,1.0
2024-02-08,Pectoral Fly'S,45,10.0,1.0
2024-02-08,Pectoral Fly'S,45,10.0,1.0
2024-02-08,Tricep Pull Downs,5,8.0,1.0
2024-02-08,Tricep Pull Downs,5,8.0,1.0
2024-02-08,Tricep Pull Downs,5,8.0,1.0
2024-02-09,Shoulder Press,16,8.0,1.0
2024-02-09,Shoulder Press,14,8.0,1.0
2024-02-09,Shoulder Press,14,8.0,1.0
2024-02-09,Skull Crushers,20,8.0,1.0
2024-02-09,Skull Crushers,20,8.0,1.0
2024-02-09,Skull Crushers,20,8.0,1.0
2024-02-10,Back Rows,20,8.0,1.0
2024-02-10,Back Rows,20,8.0,1.0
2024-02-10,Back Rows,25,8.0,1.0
2024-02-10,Lat Pulldown Downs,20,8.0,1.0
2024-02-10,Lat Pulldown Downs,30,8.0,1.0
2024-02-10,Lat Pulldown Downs,30,8.0,1.0
2024-02-12,Squats,40,10.0,1.0
2024-02-12,Squats,50,8.0,1.0
2024-02-12,Squats,60,8.0,1.0
2024-02-12,Squats,70,6.0,1.0
2024-02-12,Romanian Deadlifts,40,8.0,1.0
2024-02-12,Romanian Deadlifts,50,8.0,1.0
2024-02-12,Romanian Deadlifts,50,8.0,1.0
2024-02-12,Leg Press (Jd Gym),100,8.0,1.0
2024-02-12,Leg Press (Jd Gym),100,8.0,1.0
2024-02-12,Leg Press (Jd Gym),100,8.0,1.0
2024-02-12,Calf Raises,10,10.0,1.0
2024-02-12,Calf Raises,20,10.0,1.0
2024-02-12,Calf Raises,20,10.0,1.0
2024-02-12,Leg Extensions (Jd Gym),5,8.0,1.0
2024-02-12,Leg Extensions (Jd Gym),10,8.0,1.0
2024-02-12,Leg Extensions (Jd Gym),10,8.0,1.0
2024-02-13,Lat Pulldowns,30,8.0,1.0
2024-02-13,Lat Pulldowns,40,5.0,1.0
2024-02-13,Lat Pulldowns,30,8.0,1.0
2024-02-13,Lat Pulldowns,20,5.0,1.0
2024-02-13,Zoltman Curls,6,8.0,1.0
2024-02-13,Zoltman Curls,6,8.0,1.0
2024-02-13,Low Rows (Weights Each Side),20,8.0,1.0
2024-02-13,Low Rows (Weights Each Side),20,8.0,1.0
2024-02-13,Low Rows (Weights Each Side),15,14.0,1.0
2024-02-13,Concentration Curls,15,6.0,1.0
2024-02-13,Concentration Curls,15,6.0,1.0
2024-02-14,Squats,40,10.0,1.0
2024-02-14,Squats,60,8.0,1.0
2024-02-14,Squats,70,6.0,1.0
2024-02-14,Squats,60,8.0,1.0
2024-02-14,Seated Calf Raises,20,10.0,1.0
2024-02-14,Seated Calf Raises,20,10.0,1.0
2024-02-14,Romanian Deadlifts,40,8.0,1.0
2024-02-14,Romanian Deadlifts,40,8.0,1.0
2024-02-17,Bench Press,40,10.0,1.0
2024-02-17,Bench Press,50,8.0,1.0
2024-02-17,Bench Press,50,8.0,1.0
2024-02-17,Bench Press,40,8.0,1.0
2024-02-17,Incline Bench Press,14,10.0,1.0
2024-02-17,Incline Bench Press,14,10.0,1.0
2024-02-17,Incline Bench Press,14,10.0,1.0
2024-02-17,Pectoral Fly'S,27,8.0,1.0
2024-02-17,Pectoral Fly'S,32,8.0,1.0
2024-02-17,Pectoral Fly'S,32,8.0,1.0
2024-02-20,Deadlifts,70,8.0,1.0
2024-02-20,Deadlifts,80,8.0,1.0
2024-02-20,Deadlifts,80,8.0,1.0
2024-02-20,Barbell Rows,30,8.0,1.0
2024-02-20,Barbell Rows,30,10.0,1.0
2024-02-20,Barbell Rows,30,10.0,1.0
2024-02-20,Bicep Curls,8,8.0,1.0
2024-02-20,Bicep Curls,8,8.0,1.0
2024-02-20,Bicep Curls,8,8.0,1.0
2024-02-20,Bicep Curls,8,8.0,1.0
2024-02-21,Shoulder Press,12,8.0,1.0
2024-02-21,Shoulder Press,12,8.0,1.0
2024-02-21,Shoulder Press,14,8.0,1.0
2024-02-21,Shoulder Press,14,8.0,1.0
2024-02-21,Cable Lateral Raises,4,8.0,1.0
2024-02-21,Cable Lateral Raises,4,8.0,1.0
2024-02-21,Cable Lateral Raises,4,8.0,1.0
2024-02-21,Cable Front Raises,7,8.0,1.0
2024-02-21,Cable Front Raises,7,8.0,1.0
2024-02-21,Shrugs,18,8.0,1.0
2024-02-21,Shrugs,18,10.0,1.0
2024-02-21,Shrugs,18,10.0,1.0
2024-02-22,Squats,40,10.0,1.0
2024-02-22,Squats,50,10.0,1.0
2024-02-22,Squats,60,8.0,1.0
2024-02-22,Squats,60,8.0,1.0
2024-02-22,Leg Press (Starting Resistance 75Kg),50,8.0,1.0
2024-02-22,Leg Press (Starting Resistance 75Kg),50,10.0,1.0
2024-02-22,Leg Press (Starting Resistance 75Kg),50,10.0,1.0
2024-02-22,Calf Raises,20,10.0,1.0
2024-02-22,Calf Raises,20,10.0,1.0
2024-02-22,Calf Raises,20,10.0,1.0
2024-02-22,Leg Extensions,25,8.0,1.0
2024-02-22,Leg Extensions,32,8.0,1.0
2024-02-23,Cable Rows,32,8.0,1.0
2024-02-23,Cable Rows,32,8.0,1.0
2024-02-23,Cable Rows,32,8.0,1.0
2024-02-23,Face Pulls,7,12.0,1.0
2024-02-23,Face Pulls,7,12.0,1.0
2024-02-23,Face Pulls,7,12.0,1.0
2024-02-23,Hammer Curls,8,8.0,1.0
2024-02-23,Hammer Curls,8,8.0,1.0
2024-02-23,Hammer Curls,8,8.0,1.0
2024-02-27,Bench Press,40,10.0,1.0
2024-02-27,Bench Press,50,8.0,1.0
2024-02-27,Pectoral Fly'S,39,8.0,1.0
2024-02-27,Pectoral Fly'S,45,10.0,1.0
2024-02-27,Pectoral Fly'S,45,10.0,1.0
2024-02-27,Pectoral Fly'S,45,10.0,1.0
2024-03-01,Deadlifts,70,8.0,1.0
2024-03-01,Deadlifts,80,8.0,1.0
2024-03-01,Deadlifts,80,8.0,1.0
2024-03-01,Barbell Rows,30,10.0,1.0
2024-03-01,Barbell Rows,30,10.0,1.0
2024-03-01,Barbell Rows,30,10.0,1.0
2024-03-01,Lat Pulldowns,32,10.0,1.0
2024-03-01,Lat Pulldowns,32,10.0,1.0
2024-03-01,Lat Pulldowns,32,10.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,12,8.0,1.0
2024-03-02,Shoulder Press,14,8.0,1.0
2024-03-02,Shoulder Press,14,8.0,1.0
2024-03-02,Cable Front Raises,4,10.0,1.0
2024-03-02,Cable Front Raises,6,10.0,1.0
2024-03-02,Cable Front Raises,4,10.0,1.0
2024-03-02,Shrugs,20,12.0,1.0
2024-03-02,Shrugs,20,12.0,1.0
2024-03-02,Shrugs,20,12.0,1.0
2024-03-03,Squats,40,12.0,1.0
2024-03-03,Squats,60,8.0,1.0
2024-03-03,Squats,60,8.0,1.0
2024-03-03,Squats,60,8.0,1.0
2024-03-03,Leg Press (Starting Resistance 75Kg),50,8.0,1.0
2024-03-03,Leg Press (Starting Resistance 75Kg),50,10.0,1.0
2024-03-03,Leg Press (Starting Resistance 75Kg),50,10.0,1.0
2024-03-03,Romanian Deadlifts,40,8.0,1.0
2024-03-03,Romanian Deadlifts,40,8.0,1.0
2024-03-03,Calf Raises,20,10.0,1.0
2024-03-03,Calf Raises,20,10.0,1.0
2024-03-03,Calf Raises,20,10.0,1.0
2024-03-05,Rows,27,8.0,1.0
2024-03-05,Rows,27,8.0,1.0
2024-03-05,Rows,27,8.0,1.0
2024-03-05,Cable Rows,32,8.0,1.0
2024-03-05,Cable Rows,32,8.0,1.0
2024-03-05,Cable Rows,32,8.0,1.0
2024-03-05,Face Pulls,7,12.0,1.0
2024-03-05,Face Pulls,7,12.0,1.0
2024-03-05,Face Pulls,7,12.0,1.0
2024-03-05,Hammer Curls,8,8.0,1.0
2024-03-05,Hammer Curls,8,8.0,1.0
2024-03-05,Hammer Curls,8,8.0,1.0
2024-03-07,Bench Press,40,10.0,1.0
2024-03-07,Bench Press,50,8.0,1.0
2024-03-07,Bench Press,50,8.0,1.0
2024-03-07,Bench Press,40,10.0,1.0
2024-03-07,Incline Bench Press,14,8.0,1.0
2024-03-07,Incline Bench Press,14,10.0,1.0
2024-03-07,Incline Bench Press,14,10.0,1.0
2024-03-07,Pectoral Fly'S,39,8.0,1.0
2024-03-07,Pectoral Fly'S,45,10.0,1.0
2024-03-07,Pectoral Fly'S,45,10.0,1.0
2024-03-07,Pectoral Fly'S,45,10.0,1.0
2024-03-07,Tricep Pull Downs,5,8.0,1.0
2024-03-07,Tricep Pull Downs,5,8.0,1.0
2024-03-07,Tricep Pull Downs,2,8.0,1.0
2024-03-08,Deadlifts,70,8.0,1.0
2024-03-08,Deadlifts,80,8.0,1.0
2024-03-08,Deadlifts,80,8.0,1.0
2024-03-08,Barbell Rows,30,10.0,1.0
2024-03-08,Barbell Rows,35,10.0,1.0
2024-03-08,Barbell Rows,35,10.0,1.0
2024-03-08,Lat Pulldowns,32,10.0,1.0
2024-03-08,Lat Pulldowns,32,10.0,1.0
2024-03-08,Lat Pulldowns,32,10.0,1.0
2024-03-08,Bicep Curls,8,8.0,1.0
2024-03-08,Bicep Curls,8,8.0,1.0
2024-03-08,Bicep Curls,8,8.0,1.0
2024-03-08,Bicep Curls,8,8.0,1.0
2024-03-09,Shoulder Press,12,8.0,1.0
2024-03-09,Shoulder Press,14,8.0,1.0
2024-03-09,Shoulder Press,14,10.0,1.0
2024-03-09,Cable Lateral Raises,6,12.0,1.0
2024-03-09,Cable Lateral Raises,6,14.0,1.0
2024-03-09,Cable Lateral Raises,6,14.0,1.0
2024-03-09,Cable Front Raises,4,10.0,1.0
2024-03-09,Cable Front Raises,4,10.0,1.0
2024-03-09,Cable Front Raises,6,10.0,1.0
2024-03-09,Shrugs,20,12.0,1.0
2024-03-09,Shrugs,20,12.0,1.0
2024-03-09,Shrugs,20,15.0,1.0
2024-03-13,Squats,40,10.0,1.0
2024-03-13,Squats,50,8.0,1.0
2024-03-13,Squats,60,8.0,1.0
2024-03-13,Squats,60,8.0,1.0
2024-03-13,Leg Press,45,8.0,1.0
2024-03-13,Leg Press,52,8.0,1.0
2024-03-13,Leg Press,59,8.0,1.0
2024-03-13,Calf Raises,40,10.0,1.0
2024-03-13,Calf Raises,40,10.0,1.0
2024-03-13,Calf Raises,40,10.0,1.0
2024-03-14,Bench Press,40,10.0,1.0
2024-03-14,Bench Press,50,8.0,1.0
2024-03-14,Bench Press,50,8.0,1.0
2024-03-14,Bench Press,50,6.0,1.0
2024-03-14,Incline Bench Press,14,10.0,1.0
2024-03-14,Incline Bench Press,14,10.0,1.0
2024-03-14,Incline Bench Press,14,10.0,1.0
2024-03-14,Tricep Pull Downs,5,8.0,1.0
2024-03-15,Cable Rows,39,8.0,1.0
2024-03-15,Cable Rows,45,8.0,1.0
2024-03-15,Cable Rows,39,8.0,1.0
2024-03-15,Rear Delt Fly,32,8.0,1.0
2024-03-15,Rear Delt Fly,32,8.0,1.0
2024-03-15,Rear Delt Fly,32,8.0,1.0
2024-03-15,Bicep Curls Cable,7,8.0,1.0
2024-03-15,Bicep Curls Cable,7,8.0,1.0
2024-03-15,Bicep Curls Cable,7,8.0,1.0
2024-03-15,Bicep Curls Cable,7,8.0,1.0
2024-03-19,Shoulder Press,12,8.0,1.0
